1,1,1
2,0,0
2,1,0
2,1,1
2,2,0
2,2,1
3,1,1
2,2,2
3,0,2
3,2,1
4,0,0
3,2,2
4,1,1
3,3,1
4,0,2
4,1,2
3,3,2
4,2,2
4,3,0
4,3,1
3,3,3
4,3,2
5,2,1
4,4,0
5,2,2
4,3,3
5,1,3
6,0,0
6,1,0
6,1,1
6,0,2
6,2,1
5,1,4
5,3,3
6,2,2
6,3,0
6,1,3
4,4,4
6,2,3
5,3,4
5,5,1
6,0,4
7,0,2
5,5,2
6,2,4
5,4,4
7,1,3
6,3,4
7,3,2
8,0,0
6,5,2
5,5,4
7,3,3
8,2,0
7,4,2
6,5,3
6,6,0
8,3,0
8,1,3
7,5,1
6,6,2
6,4,5
7,2,5
8,4,0
8,1,4
8,3,3
7,5,3
8,4,2
7,0,6
9,1,2
6,6,4
9,2,2
8,1,5
9,1,3
8,5,2
7,3,6
8,4,4
6,6,5
8,3,5
7,7,1
8,6,0
7,4,6
10,1,1
8,6,2
8,4,5
8,5,4
9,4,3
7,7,3
10,2,2
8,3,6
10,1,3
10,2,3
8,7,1
9,5,3
8,4,6
10,1,4
10,3,3
10,2,4
9,6,2
9,5,4
7,7,5
10,5,0
9,6,3
8,8,0
8,7,4
9,5,5
10,4,4
9,4,6
11,2,3
10,6,0
10,6,1
11,4,1
9,3,7
10,2,6
11,4,2
9,5,6
12,0,0
10,6,3
9,8,1
7,7,7
12,0,2
8,6,7
10,1,7
12,2,2
11,4,4
12,3,1
11,3,5
12,3,2
10,7,3
12,0,4
12,4,1
8,7,7
9,9,1
12,4,2
10,8,1
11,6,3
10,2,8
12,3,4
12,5,1
11,7,1
10,6,6
13,0,2
11,7,2
12,4,4
13,2,2
12,5,3
11,3,7
12,6,0
12,1,6
11,6,5
12,2,6
13,0,4
11,4,7
13,3,3
12,3,6
10,3,9
8,8,8
11,6,6
11,8,3
11,7,5
12,6,4
14,1,0
14,1,1
10,10,0
10,10,1
12,3,7
11,9,1
14,2,2
12,6,5
13,1,6
12,0,8
13,2,6
11,5,8
11,3,9
12,2,8
10,7,8
13,3,6
14,4,2
10,6,9
11,9,4
13,5,5
14,4,3
13,7,2
12,4,8
14,2,5
12,9,1
11,9,5
10,8,8
12,7,6
11,10,3
14,6,0
12,8,5
13,8,1
15,1,3
10,10,6
14,5,4
11,9,6
12,9,4
13,8,3
15,3,3
12,10,0
12,10,1
11,11,2
12,10,2
10,10,7
12,9,5
11,11,3
12,3,10
14,7,3
