0,0,0,0,0,1,8.21932,0.0404242
0,1,-1,0,0,1,16.3192,0.0387335
0,1,0,-1,0,1,19.7673,0.0441131
0,1,-1,-1,0,1,22.8406,0.11036
1,1,-1,-1,0,1,24.3377,0.0965263
0,1,0,-2,1,1,25.8347,0.0405779
0,1,0,-1,0,2,26.8785,0.0636336
0,1,0,-1,1,2,28.2767,0.0727021
1,0,0,-2,0,2,29.5764,0.0617891
0,1,-1,-1,0,2,30.4821,0.0553335
1,1,-1,-1,-1,2,31.6635,0.0747003
0,1,0,-2,0,2,33.7108,0.0917615
1,1,-1,-1,1,2,35.5413,0.928835
0,1,-1,-2,0,2,37.4305,1
1,1,-1,-2,0,2,38.6898,0.0780818
0,2,0,-2,0,2,40.2047,0.0650169
1,1,1,1,0,3,41.0702,0.0671688
0,2,-1,-2,0,2,42.6634,0.266062
1,1,-1,-1,1,3,44.3152,0.201199
1,2,-1,-2,-1,2,45.1803,0.0733169
0,2,-2,-2,0,2,46.6744,0.0465724
1,1,-1,-2,1,3,48.9739,0.0316631
1,2,-1,-2,-1,3,52.569,0.0877651
0,2,-1,-3,0,3,58.203,0.0393483
1,2,-1,-3,0,3,59.3409,0.0564095
0,2,-2,-3,0,3,62.5569,0.173532
1,2,-1,-2,1,4,63.2234,0.0599447
1,3,-1,-3,0,3,66.3388,0.161697
1,3,-1,-3,-1,3,67.5725,0.0936059
1,2,-1,-3,0,4,68.199,0.066554
1,2,-1,-3,1,4,69.804,0.0467261
0,2,-2,-3,0,4,71.1345,0.0564095
1,2,-2,-3,1,4,74.087,0.0620965
2,2,-2,-2,2,4,75.24,0.0565632
0,2,-2,-4,0,4,79.8667,0.0625576
